UUID,entry-timestamp,musician-or-band-name,discogs-id
01f8e0b8-c114-4337-8eeb-fefa83af6189,2018-07--27,Mumford and Sons,https://www.discogs.com/artist/1567405-Mumford-Sons
457ca788-803e-4337-b042-3ce841e076b6,2018-07--27,Coldplay,https://www.discogs.com/artist/29735-Coldplay
1b09ba64-8cca-46c1-8d43-534f36ce052b,2018-07--27,Ed Sheeran,https://www.discogs.com/artist/2184482-Ed-Sheeran
